goodForGroups,city,state,stars,open,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,smoking,outdoorSeating,caters,goodForKids
0,Las Vegas,NV,1.5,TRUE,none,,casual,1,FALSE,,,,,
1,Pittsburgh,PA,3.5,FALSE,none,average,casual,2,TRUE,FALSE,,FALSE,TRUE,
0,Phoenix,AZ,2,TRUE,none,,,1,,,,,,
0,Charlotte,NC,3,TRUE,none,,,2,,TRUE,,,,
0,Las Vegas,NV,2,TRUE,none,,casual,2,TRUE,FALSE,,FALSE,FALSE,
0,Montral,QC,3.5,TRUE,none,,,2,,,,FALSE,,
0,Phoenix,AZ,3,TRUE,none,,casual,1,FALSE,,,FALSE,,
1,North Las Vegas,NV,4,FALSE,none,average,casual,1,FALSE,FALSE,,FALSE,,
1,Charlotte,NC,3,TRUE,full_bar,very_loud,,,,,,TRUE,,
0,Avondale,AZ,3.5,TRUE,none,,,1,,,,,,
0,North Las Vegas,NV,3.5,TRUE,none,average,casual,1,TRUE,FALSE,,FALSE,FALSE,
0,Charlotte,NC,3,TRUE,none,,,1,,,,,,
1,Sun Prairie,WI,2,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,FALSE,
1,Phoenix,AZ,4,TRUE,full_bar,average,casual,1,FALSE,TRUE,,FALSE,TRUE,
1,Pittsburgh,PA,3,TRUE,none,,,1,FALSE,,,,,
1,Las Vegas,NV,3.5,FALSE,beer_and_wine,quiet,casual,2,,,,FALSE,,
1,Phoenix,AZ,3,TRUE,full_bar,,,3,,,outdoor,TRUE,,
1,Pittsburgh,PA,3,TRUE,none,average,casual,1,,TRUE,,FALSE,,
1,Charlotte,NC,4,TRUE,beer_and_wine,quiet,casual,2,TRUE,FALSE,,FALSE,FALSE,
0,Chandler,AZ,4,TRUE,none,,,2,TRUE,,,,,
1,Charlotte,NC,4,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,,FALSE,,
1,Glendale,AZ,3.5,TRUE,full_bar,,casual,1,TRUE,FALSE,,FALSE,,TRUE
1,Mesa,AZ,3,FALSE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,,
1,Las Vegas,NV,4,TRUE,full_bar,very_loud,,2,,,yes,FALSE,,
1,Phoenix,AZ,4,FALSE,none,quiet,casual,2,TRUE,FALSE,,TRUE,FALSE,
1,Stallings,NC,4,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,,FALSE,,
1,Las Vegas,NV,4,TRUE,full_bar,average,casual,2,FALSE,TRUE,no,TRUE,FALSE,
1,Charlotte,NC,3.5,TRUE,full_bar,quiet,casual,2,FALSE,TRUE,,FALSE,,TRUE
1,Montral,QC,3.5,TRUE,full_bar,loud,casual,3,FALSE,FALSE,,FALSE,FALSE,
0,Charlotte,NC,5,TRUE,none,,,2,,,,,,
1,Middleton,WI,4,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,FALSE,
1,Surprise,AZ,3,FALSE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,TRUE,
0,Las Vegas,NV,3.5,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Tempe,AZ,4,TRUE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,FALSE,
0,Phoenix,AZ,4,TRUE,none,,,1,,,,,,
1,Charlotte,NC,4,TRUE,beer_and_wine,average,casual,2,FALSE,TRUE,,TRUE,FALSE,
1,Montral,QC,4,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Las Vegas,NV,3,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Phoenix,AZ,3.5,TRUE,full_bar,average,casual,1,FALSE,TRUE,,TRUE,TRUE,
0,Las Vegas,NV,2.5,TRUE,none,,,1,,,,,,
1,Pittsburgh,PA,3.5,TRUE,none,average,casual,2,FALSE,FALSE,,FALSE,TRUE,
0,Pittsburgh,PA,2.5,TRUE,none,,,2,,,,,,
0,Montreal,QC,3,TRUE,none,,,,FALSE,,,,,
0,Charlotte,NC,5,TRUE,none,,,2,,TRUE,,,,
1,Las Vegas,NV,3,TRUE,full_bar,,,2,,,yes,FALSE,,
0,Montral,QC,4.5,TRUE,none,,,2,,,,,,
0,Glendale,AZ,4,TRUE,none,,,2,,,,,,
1,Montral,QC,4,FALSE,none,quiet,casual,2,FALSE,TRUE,,FALSE,FALSE,
1,Gila Bend,AZ,4,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,,TRUE,FALSE,
1,Phoenix,AZ,2,TRUE,none,average,casual,1,TRUE,TRUE,,FALSE,,
1,Las Vegas,NV,3,TRUE,none,quiet,casual,1,TRUE,TRUE,,FALSE,TRUE,
1,Chandler,AZ,3.5,TRUE,full_bar,average,casual,2,FALSE,TRUE,outdoor,TRUE,FALSE,
1,Surprise,AZ,4,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,,
1,Saint-Laurent,QC,4.5,TRUE,beer_and_wine,quiet,dressy,3,FALSE,FALSE,,TRUE,FALSE,
1,Fitchburg,WI,3.5,TRUE,none,average,casual,1,FALSE,,,FALSE,,
1,Chandler,AZ,4,TRUE,beer_and_wine,quiet,casual,1,FALSE,TRUE,outdoor,TRUE,TRUE,
1,Kirkland,QC,2.5,FALSE,none,average,dressy,3,FALSE,TRUE,,FALSE,FALSE,
0,Mesa,AZ,4.5,TRUE,none,,,2,,,,,,
0,Phoenix,AZ,2.5,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,FALSE,
0,Montral,QC,4.5,TRUE,none,quiet,,2,,,,,,
1,Phoenix,AZ,2,TRUE,full_bar,average,,2,,TRUE,no,TRUE,,
1,Montral,QC,3.5,TRUE,none,,casual,1,FALSE,,,FALSE,FALSE,
0,Las Vegas,NV,3,FALSE,none,,,,,,,,,
1,Kitchener,ON,3.5,TRUE,beer_and_wine,average,casual,2,FALSE,TRUE,,TRUE,FALSE,
0,Glendale,AZ,3,TRUE,none,,,1,,TRUE,,,,
1,Sun Prairie,WI,2.5,TRUE,none,loud,casual,2,TRUE,TRUE,,FALSE,TRUE,
0,Tempe,AZ,2.5,TRUE,none,,casual,2,FALSE,FALSE,,FALSE,,
0,Madison,WI,3.5,TRUE,none,,,2,,,,,,
1,Charlotte,NC,3.5,TRUE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,TRUE,
1,Madison,WI,3.5,FALSE,full_bar,average,casual,3,FALSE,FALSE,,TRUE,,
0,Phoenix,AZ,3,TRUE,none,quiet,casual,1,TRUE,TRUE,,FALSE,FALSE,TRUE
0,Mesa,AZ,4,TRUE,none,,,2,,TRUE,,,,
1,Edinburgh,EDH,3.5,TRUE,beer_and_wine,average,casual,2,FALSE,,,FALSE,,TRUE
1,Edinburgh,EDH,4,TRUE,full_bar,average,,1,,TRUE,no,FALSE,,
1,Las Vegas,NV,4.5,FALSE,none,,casual,1,FALSE,FALSE,,TRUE,,
1,Tempe,AZ,4,TRUE,none,quiet,casual,1,FALSE,TRUE,,FALSE,FALSE,TRUE
0,Phoenix,AZ,3,TRUE,none,loud,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Phoenix,AZ,4,FALSE,full_bar,loud,,1,,,outdoor,FALSE,,
1,North Las Vegas,NV,3.5,TRUE,beer_and_wine,quiet,casual,1,TRUE,TRUE,,FALSE,TRUE,
0,Charlotte,NC,3.5,TRUE,none,,,1,,,,,,
0,Phoenix,AZ,2.5,TRUE,none,average,casual,1,FALSE,FALSE,,TRUE,TRUE,
1,Scottsdale,AZ,3,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,FALSE,
0,Las Vegas,NV,3.5,FALSE,none,,casual,1,FALSE,,,FALSE,,TRUE
1,Phoenix,AZ,3.5,TRUE,none,very_loud,casual,1,FALSE,FALSE,,FALSE,FALSE,
1,Phoenix,AZ,4,TRUE,none,average,casual,1,FALSE,,,FALSE,TRUE,
1,Anthem,AZ,4,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,,
1,Las Vegas,NV,3.5,FALSE,none,quiet,casual,1,FALSE,TRUE,,FALSE,TRUE,
1,Charlotte,NC,4.5,TRUE,none,average,casual,2,,,,FALSE,,
1,Las Vegas,NV,3,TRUE,full_bar,loud,casual,3,FALSE,TRUE,no,FALSE,FALSE,
0,Pittsburgh,PA,3,TRUE,none,,,1,,,,,,
1,Chandler,AZ,4,FALSE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,TRUE,
1,Charlotte,NC,4.5,TRUE,none,quiet,casual,1,FALSE,FALSE,,FALSE,,
0,Dollard-des-Ormeaux,QC,2,FALSE,none,,,2,,,,,,
1,Mesa,AZ,2,TRUE,none,,casual,1,FALSE,,,TRUE,,
1,Scottsdale,AZ,4.5,TRUE,full_bar,average,dressy,3,FALSE,TRUE,,TRUE,TRUE,FALSE
1,Las Vegas,NV,4,TRUE,none,average,casual,2,FALSE,TRUE,,FALSE,FALSE,TRUE
1,Glendale,AZ,3.5,TRUE,none,,,1,,,yes,TRUE,,
0,Montreal,QC,4.5,TRUE,none,,casual,,,TRUE,,TRUE,,
1,Mesa,AZ,4,TRUE,none,average,casual,2,TRUE,TRUE,,FALSE,TRUE,
1,Las Vegas,NV,4,TRUE,none,average,casual,2,FALSE,TRUE,,FALSE,FALSE,
0,Queen Creek,AZ,5,TRUE,none,,,1,,,,,,
1,Las Vegas,NV,3.5,TRUE,none,average,casual,1,TRUE,TRUE,,FALSE,TRUE,
1,Tempe,AZ,4.5,FALSE,full_bar,,casual,1,FALSE,TRUE,,TRUE,,TRUE
1,Chandler,AZ,3.5,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,TRUE,
1,Las Vegas,NV,4,TRUE,none,loud,casual,1,FALSE,,,TRUE,TRUE,
0,Scottsdale,AZ,3,TRUE,beer_and_wine,,,2,,TRUE,,FALSE,,
1,Las Vegas,NV,4,TRUE,full_bar,average,casual,1,FALSE,TRUE,yes,FALSE,FALSE,FALSE
1,Charlotte,NC,3.5,TRUE,full_bar,average,casual,2,FALSE,TRUE,no,TRUE,TRUE,TRUE
1,Las Vegas,NV,3.5,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,,TRUE
0,Phoenix,AZ,4.5,TRUE,none,,,2,,,,,,
0,Madison,WI,4,TRUE,none,,,2,,,,TRUE,,
1,Las Vegas,NV,4.5,TRUE,none,loud,casual,1,FALSE,TRUE,,FALSE,TRUE,
0,Scottsdale,AZ,3.5,FALSE,none,,,3,,,,,,
0,Chandler,AZ,3,TRUE,none,,,2,,,,TRUE,,
0,Montral,QC,3.5,TRUE,beer_and_wine,average,casual,2,FALSE,,,FALSE,FALSE,
1,Scottsdale,AZ,3.5,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,TRUE,
1,Tempe,AZ,3,TRUE,beer_and_wine,average,casual,2,TRUE,FALSE,,TRUE,TRUE,
1,Champaign,IL,3.5,TRUE,none,average,casual,1,TRUE,FALSE,,FALSE,,
0,Montreal,QC,4.5,TRUE,none,quiet,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Las Vegas,NV,2,TRUE,none,,casual,1,FALSE,FALSE,,FALSE,FALSE,
1,Pittsburgh,PA,3,TRUE,none,quiet,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Las Vegas,NV,3,TRUE,full_bar,loud,casual,3,FALSE,TRUE,,FALSE,TRUE,
0,Sun Prairie,WI,4,TRUE,beer_and_wine,,casual,1,TRUE,TRUE,,FALSE,,
0,Las Vegas,NV,3.5,TRUE,none,,,2,,,,,,
1,Las Vegas,NV,3.5,TRUE,none,very_loud,casual,1,FALSE,FALSE,,TRUE,FALSE,
0,Montral,QC,3.5,TRUE,none,,,1,,,,FALSE,,
0,Urbana,IL,3.5,TRUE,none,,,2,,,,,,
0,Matthews,NC,3.5,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,,
1,Montral,QC,2.5,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Tolleson,AZ,3.5,TRUE,beer_and_wine,average,casual,1,FALSE,FALSE,,FALSE,FALSE,
1,Tempe,AZ,3,TRUE,none,very_loud,casual,2,TRUE,FALSE,,FALSE,TRUE,
1,Phoenix,AZ,4.5,TRUE,beer_and_wine,average,casual,2,FALSE,TRUE,,TRUE,TRUE,
0,Henderson,NV,4,FALSE,none,,,1,,,,,,
0,Edinburgh,EDH,4,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,FALSE,
0,Las Vegas,NV,4.5,TRUE,none,,,2,,,,,,
1,Urbana,IL,4.5,FALSE,full_bar,,,3,,FALSE,outdoor,FALSE,,
0,Las Vegas,NV,3.5,TRUE,none,,,2,FALSE,,,,,
1,Madison,WI,4,TRUE,full_bar,loud,casual,1,TRUE,TRUE,no,TRUE,FALSE,
1,Madison,WI,2.5,TRUE,none,,casual,1,FALSE,FALSE,,FALSE,,
0,Phoenix,AZ,3.5,TRUE,none,,,2,,TRUE,,TRUE,,
1,Phoenix,AZ,4,TRUE,beer_and_wine,very_loud,casual,1,FALSE,TRUE,,FALSE,FALSE,
0,Charlotte,NC,3,FALSE,none,,,1,,,,TRUE,,
1,Phoenix,AZ,2.5,TRUE,none,average,casual,1,TRUE,TRUE,,FALSE,TRUE,
1,Edinburgh,EDH,4.5,TRUE,full_bar,average,casual,2,,TRUE,no,FALSE,,
0,Las Vegas,NV,4,TRUE,none,,,1,,,,,,
1,Mesa,AZ,3.5,FALSE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,TRUE,
0,Scottsdale,AZ,4,TRUE,none,,,2,,TRUE,,,,
0,Scottsdale,AZ,3,TRUE,none,,,2,,,,,,
0,Glendale,AZ,3,TRUE,none,,,1,,,,,,
1,Glendale,AZ,3.5,TRUE,full_bar,average,casual,2,FALSE,,,TRUE,TRUE,
1,Montral,QC,3,TRUE,beer_and_wine,quiet,casual,3,FALSE,FALSE,,FALSE,,
0,North Las Vegas,NV,4,FALSE,none,,,1,,,,,,
0,Edinburgh,EDH,4.5,TRUE,none,,,2,,,,,,
1,Edinburgh,EDH,3.5,FALSE,beer_and_wine,quiet,casual,2,TRUE,TRUE,,FALSE,,
1,Scottsdale,AZ,4,TRUE,full_bar,average,,1,,,outdoor,TRUE,,
1,Phoenix,AZ,4,TRUE,none,quiet,casual,1,FALSE,TRUE,,FALSE,FALSE,
0,Scottsdale,AZ,2.5,TRUE,none,,,2,,TRUE,,,,
1,Chandler,AZ,3.5,TRUE,full_bar,loud,casual,2,TRUE,FALSE,,FALSE,TRUE,
1,Coolidge,AZ,4.5,TRUE,full_bar,average,casual,1,FALSE,TRUE,outdoor,TRUE,TRUE,
1,Phoenix,AZ,3.5,TRUE,full_bar,average,casual,2,FALSE,TRUE,outdoor,TRUE,FALSE,
0,Las Vegas,NV,3,TRUE,none,average,casual,1,FALSE,FALSE,,,FALSE,
1,Montreal,QC,2,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,TRUE,
1,Glendale,AZ,4.5,TRUE,none,quiet,casual,1,FALSE,TRUE,,TRUE,FALSE,
1,Champaign,IL,4,TRUE,full_bar,average,dressy,3,FALSE,TRUE,no,TRUE,FALSE,FALSE
1,Charlotte,NC,2.5,TRUE,full_bar,average,casual,1,FALSE,TRUE,outdoor,TRUE,,
1,Montreal,QC,4.5,TRUE,full_bar,average,casual,3,FALSE,FALSE,,FALSE,FALSE,
1,Charlotte,NC,3,TRUE,full_bar,average,casual,2,TRUE,FALSE,,TRUE,,
1,Mesa,AZ,3.5,TRUE,none,quiet,casual,1,FALSE,,,TRUE,TRUE,
1,Madison,WI,4,TRUE,full_bar,very_loud,casual,1,FALSE,TRUE,,FALSE,FALSE,
0,Scottsdale,AZ,3,TRUE,none,,,1,,,,,,
0,Madison,WI,2,TRUE,none,,,1,,,,,,
0,Phoenix,AZ,4,FALSE,none,quiet,casual,1,FALSE,TRUE,,TRUE,TRUE,TRUE
1,Scottsdale,AZ,4,TRUE,full_bar,quiet,casual,2,TRUE,TRUE,,TRUE,,
1,Gilbert,AZ,4,TRUE,full_bar,average,casual,1,FALSE,TRUE,,FALSE,TRUE,TRUE
1,Las Vegas,NV,3.5,FALSE,none,average,casual,,,,,,,
0,Queen Creek,AZ,4,FALSE,none,average,casual,2,FALSE,TRUE,,FALSE,,
1,Scottsdale,AZ,4,FALSE,full_bar,very_loud,casual,2,FALSE,,,TRUE,FALSE,
0,Phoenix,AZ,1.5,TRUE,none,,,1,,,,,,
1,Karlsruhe,BW,4.5,TRUE,beer_and_wine,average,casual,2,FALSE,TRUE,outdoor,TRUE,FALSE,
1,Charlotte,NC,2.5,TRUE,full_bar,very_loud,casual,1,TRUE,TRUE,outdoor,TRUE,,
1,Queen Creek,AZ,2.5,TRUE,none,average,casual,1,FALSE,,,FALSE,FALSE,
0,Las Vegas,NV,3,FALSE,none,,,1,,,,,,
0,Pittsburgh,PA,4,TRUE,none,,,1,,FALSE,,,,
1,Carnegie,PA,4,TRUE,full_bar,loud,casual,1,FALSE,FALSE,outdoor,TRUE,FALSE,
1,Mesa,AZ,2,TRUE,none,average,casual,1,FALSE,TRUE,,TRUE,TRUE,
0,Montral,QC,3.5,FALSE,full_bar,,,,,,,FALSE,,
1,Charlotte,NC,4,TRUE,beer_and_wine,quiet,casual,2,FALSE,TRUE,,FALSE,TRUE,
1,Phoenix,AZ,3,TRUE,none,quiet,casual,1,TRUE,TRUE,,FALSE,FALSE,
1,Edinburgh,EDH,3.5,TRUE,none,quiet,casual,1,FALSE,,,TRUE,,
1,Pittsburgh,PA,4,TRUE,full_bar,average,casual,1,FALSE,FALSE,outdoor,TRUE,TRUE,
1,Las Vegas,NV,3.5,TRUE,full_bar,very_loud,casual,2,FALSE,TRUE,,FALSE,FALSE,FALSE
1,Charlotte,NC,3.5,TRUE,full_bar,average,casual,2,FALSE,TRUE,,TRUE,FALSE,
0,Las Vegas,NV,4,TRUE,none,,,,,,,,,
0,Verdun,QC,4,TRUE,none,,casual,1,,TRUE,,FALSE,,
1,Montal,QC,3,TRUE,full_bar,quiet,casual,2,FALSE,TRUE,,TRUE,,
0,Las Vegas,NV,2,TRUE,none,,,2,,TRUE,,,,
1,Phoenix,AZ,4.5,TRUE,none,average,casual,1,FALSE,,,FALSE,FALSE,
1,Scottsdale,AZ,2.5,TRUE,none,average,casual,1,TRUE,TRUE,,FALSE,FALSE,
1,Pittsburgh,PA,2,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,,
1,Phoenix,AZ,3.5,FALSE,full_bar,average,casual,2,FALSE,,,TRUE,,
1,Phoenix,AZ,3.5,TRUE,full_bar,average,casual,1,FALSE,TRUE,outdoor,TRUE,TRUE,TRUE
1,Pittsburgh,PA,4,TRUE,full_bar,average,,1,,,yes,TRUE,,
1,Las Vegas,NV,4,TRUE,full_bar,loud,casual,2,FALSE,TRUE,,TRUE,,
1,Scottsdale,AZ,3,FALSE,full_bar,quiet,casual,2,FALSE,TRUE,yes,TRUE,FALSE,
1,Phoenix,AZ,3.5,TRUE,none,quiet,casual,2,FALSE,TRUE,,FALSE,FALSE,
0,Edinburgh,EDH,5,TRUE,none,,,2,,,,,,
0,Mesa,AZ,3.5,TRUE,none,,,1,,,,,,
1,Phoenix,AZ,2.5,TRUE,none,,casual,2,FALSE,,,TRUE,,
1,Phoenix,AZ,4.5,TRUE,full_bar,average,casual,2,FALSE,FALSE,,FALSE,TRUE,
1,Charlotte,NC,3.5,TRUE,full_bar,loud,casual,2,FALSE,TRUE,yes,TRUE,FALSE,
1,Las Vegas,NV,3.5,TRUE,none,average,casual,1,FALSE,,,FALSE,TRUE,
1,Las Vegas,NV,3.5,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,FALSE,
1,Chandler,AZ,3.5,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,,TRUE,TRUE,
1,Madison,WI,3.5,TRUE,full_bar,loud,,1,,,outdoor,FALSE,,
0,North Las Vegas,NV,3,TRUE,none,,,1,,,,,,
1,Mesa,AZ,3.5,FALSE,beer_and_wine,,casual,1,FALSE,TRUE,,,,
0,Las Vegas,NV,4.5,TRUE,none,,,1,,,,,,
1,Las Vegas,NV,3.5,TRUE,full_bar,average,,1,,,yes,FALSE,,
1,Henderson,NV,4,FALSE,full_bar,loud,casual,1,FALSE,FALSE,yes,FALSE,FALSE,
0,Guadalupe,AZ,4.5,TRUE,none,,,2,,,,,,
1,Mesa,AZ,3.5,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,,
1,Las Vegas,NV,3.5,TRUE,full_bar,average,casual,2,FALSE,TRUE,,FALSE,FALSE,TRUE
0,Pittsburgh,PA,4,TRUE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,TRUE,FALSE
1,Charlotte,NC,3.5,TRUE,full_bar,loud,dressy,2,FALSE,FALSE,no,FALSE,FALSE,
1,Montral,QC,2.5,TRUE,none,average,casual,2,FALSE,TRUE,,FALSE,FALSE,
0,Madison,WI,4.5,TRUE,none,,,1,,,,,,
1,Matthews,NC,4.5,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,,FALSE,TRUE,
0,Charlotte,NC,4,TRUE,none,,,2,,,,TRUE,,
1,Las Vegas,NV,4,FALSE,none,quiet,casual,1,FALSE,TRUE,,FALSE,FALSE,TRUE
1,Madison,WI,2.5,TRUE,none,average,casual,1,TRUE,FALSE,,FALSE,FALSE,
0,Tempe,AZ,3.5,TRUE,none,average,casual,1,FALSE,FALSE,,TRUE,FALSE,
0,Madison,WI,4,TRUE,none,average,casual,1,TRUE,TRUE,,TRUE,TRUE,
1,Las Vegas,NV,4.5,FALSE,full_bar,,,1,,TRUE,yes,FALSE,,
1,Glendale,AZ,3.5,TRUE,full_bar,loud,,1,,,outdoor,TRUE,,
1,Mesa,AZ,4,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,,
1,Avondale,AZ,4,TRUE,full_bar,quiet,casual,1,TRUE,TRUE,,FALSE,TRUE,
1,Chandler,AZ,4,TRUE,full_bar,average,casual,2,FALSE,TRUE,outdoor,TRUE,FALSE,
1,Tempe,AZ,4.5,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,,TRUE,FALSE,
0,Champaign,IL,2.5,TRUE,none,loud,,,,,,,,
1,Madison,WI,4,TRUE,full_bar,average,casual,2,TRUE,FALSE,,FALSE,TRUE,TRUE
1,Montreal,QC,2.5,TRUE,none,average,dressy,3,,TRUE,,,,
0,Tolleson,AZ,3,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,FALSE,
1,Brossard,QC,3.5,TRUE,beer_and_wine,,casual,2,FALSE,FALSE,,FALSE,,
1,Phoenix,AZ,3,FALSE,none,,casual,1,FALSE,FALSE,,FALSE,,TRUE
1,Scottsdale,AZ,3.5,TRUE,full_bar,average,casual,2,FALSE,FALSE,,TRUE,TRUE,
1,Henderson,NV,4,TRUE,none,,,,FALSE,,,,,
1,Edinburgh,EDH,4,TRUE,full_bar,average,casual,2,,TRUE,outdoor,FALSE,,
1,Urbana,IL,2.5,TRUE,none,average,casual,2,FALSE,TRUE,,FALSE,FALSE,
1,Apache Junction,AZ,2,TRUE,beer_and_wine,average,casual,2,TRUE,,,FALSE,FALSE,
1,Apache Junction,AZ,2.5,TRUE,full_bar,loud,casual,1,FALSE,,,FALSE,,
1,Edinburgh,EDH,4,TRUE,full_bar,loud,,2,,FALSE,outdoor,TRUE,,
1,North Las Vegas,NV,3,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,FALSE,
1,Montral,QC,4,TRUE,full_bar,very_loud,casual,2,FALSE,TRUE,outdoor,FALSE,FALSE,
1,Scottsdale,AZ,3.5,FALSE,full_bar,very_loud,casual,2,FALSE,FALSE,outdoor,TRUE,,FALSE
0,Tempe,AZ,3.5,FALSE,full_bar,average,casual,1,TRUE,TRUE,,TRUE,,
1,Phoenix,AZ,4.5,TRUE,full_bar,average,,1,,FALSE,outdoor,TRUE,,
0,Pittsburgh,PA,4,TRUE,none,average,casual,2,FALSE,TRUE,,TRUE,TRUE,
0,Queen Creek,AZ,4.5,TRUE,none,,,1,,,,,,
1,Urbana,IL,4,TRUE,beer_and_wine,quiet,casual,2,FALSE,FALSE,,FALSE,,
0,Mesa,AZ,3.5,TRUE,none,average,casual,1,TRUE,FALSE,,TRUE,FALSE,
0,Phoenix,AZ,3.5,TRUE,none,average,casual,1,FALSE,FALSE,,TRUE,,TRUE
1,Glendale,AZ,4,TRUE,none,quiet,casual,1,FALSE,TRUE,,FALSE,FALSE,
1,Henderson,NV,3,TRUE,none,average,casual,1,FALSE,FALSE,,FALSE,TRUE,
1,Madison,WI,3.5,TRUE,full_bar,very_loud,casual,2,FALSE,FALSE,no,TRUE,TRUE,FALSE
1,Phoenix,AZ,3.5,TRUE,none,average,casual,1,FALSE,TRUE,,FALSE,FALSE,TRUE
0,Las Vegas,NV,3.5,TRUE,none,,,1,,,,,,
1,Madison,WI,3.5,TRUE,beer_and_wine,quiet,casual,1,FALSE,FALSE,,FALSE,TRUE,TRUE
0,Pittsburgh,PA,4.5,TRUE,none,,,2,,,,,,
0,Phoenix,AZ,4,TRUE,none,,,2,,TRUE,,,FALSE,
1,Montral,QC,4,TRUE,full_bar,loud,casual,2,,TRUE,,FALSE,,
1,Phoenix,AZ,3.5,TRUE,none,,,1,,,,FALSE,,
1,Henderson,NV,4,TRUE,none,,casual,2,FALSE,,,FALSE,,
1,Waterloo,ON,2,TRUE,none,average,casual,2,FALSE,TRUE,,FALSE,,
1,North Las Vegas,NV,4,TRUE,none,quiet,casual,1,FALSE,,,FALSE,TRUE,
0,Scottsdale,AZ,3,FALSE,none,quiet,,2,FALSE,FALSE,,FALSE,TRUE,
